e1d75ef2-ae89-4cb0-aa8a-643e85f25cd8,Москва (Ленинградский вокзал) — Подсолнечная,2018-09-30 20:43:30,2018-09-30 20:43:30,train,6402,6402_4_2006004_g18_4,,0,true,,true,false,1,false,,,
3c29cf5f-2b66-4953-82cb-2bab8b7b7a43,Москва (Ленинградский вокзал) — Клин,2018-09-30 20:43:30,2018-09-30 20:43:30,train,6506,6506_4_2006004_g18_4,,0,true,,true,false,1,false,,,
76b3c2a1-4575-4a9b-a60d-8ea0a6428d7e,Москва (Павелецкий вокзал) — аэропорт Домодедово,2019-02-20 22:05:27,2019-02-20 22:05:27,train,6521,6521_1_2000005_g19_4,,0,true,,true,false,1,false,,,
f354a4e2-e1df-491b-b4df-9b0703934f2b,Москва (Павелецкий вокзал) — аэропорт Домодедово,2019-02-20 22:05:27,2019-02-20 22:05:27,train,6523,6523_1_2000005_g19_4,,0,true,,true,false,1,false,,,
dabf7ee7-9b00-475f-af11-f682b1462503,Москва (Павелецкий вокзал) — Ожерелье,2019-02-20 22:05:27,2019-02-20 22:05:27,train,6067,6067_1_2000005_g19_4,,0,true,,true,false,1,false,,,
8459d4ba-55ed-415f-8774-357426f2f01f,Москва (Павелецкий вокзал) — Домодедово,2019-02-20 22:05:28,2019-02-20 22:05:28,train,6619,6619_1_2000005_g19_4,,0,true,,true,false,1,false,,,
e7e494bd-1cb0-47e8-8211-4ccc507dfed7,Фрязино-Пасс. — Москва (Ярославский вокзал),2019-04-02 22:05:25,2019-04-02 22:05:25,train,6813,6813_2_9601361_g19_4,,0,true,,true,false,1,false,,,
38ee336b-86e1-4e3f-ba43-764f46646d6d,Москва (Ленинградский вокзал) — Крюково,2018-10-25 10:58:57,2018-10-25 10:58:57,train,6300,6300_3_2006004_g18_4,,0,true,,true,false,1,false,,,
c7ba857b-7cfd-4007-85a6-8f69c08f8a93,Москва (Ярославский вокзал) — Пушкино,2018-03-23 21:02:58,2018-03-23 21:02:58,train,7150,7150_2_2000002_g18_4,,0,true,,true,false,4,false,,,
10312f32-ee50-4e5c-a0f0-1d510191cf94,Москва (Ярославский вокзал) — Фрязино-Пасс.,2018-07-24 21:04:36,2018-07-24 21:04:36,train,6838,6838_3_2000002_g18_4,,0,true,,true,false,1,false,,,
8d8d82d7-c81b-492d-8013-ade3a03a8607,Коломенское — Ступино,2019-02-20 22:05:28,2019-07-15 16:45:54,train,6207,6207_1_2000005_g19_4,,0,true,,true,false,1,false,,,
78787079-5dbf-4814-ad81-e1c3da0d8960,Мытищи — Монино,2019-03-19 22:35:06,2019-08-03 15:45:51,train,7328,7328_2_2000002_g19_4,,0,true,,true,false,4,false,,,
bc72b710-7522-4aab-8a65-e6373d2f197a,,2019-04-01 22:39:31,2019-04-01 22:39:31,bus,387к,7750387,,0,false,,false,false,,false,,,
edfe51a9-21f8-4ebd-9fd3-324bc4f77836,Москва (Ярославский вокзал) — Фрязево,2018-07-24 21:04:36,2018-07-24 21:04:36,train,6714,6714_3_2000002_g18_4,,0,true,,true,false,1,false,,,
07ab5be5-d14b-4721-9a12-cf96853e9f97,Нара — Москва (Киевский вокзал),2018-04-15 21:07:13,2018-07-14 18:45:40,train,6454,6454_1_9601137_g18_4,,0,true,,true,false,1,false,,,
64c0f2c0-687d-448a-98b0-8f862d0b34f7,Москва (Ярославский вокзал) — Монино,2018-07-24 21:04:36,2018-07-24 21:04:36,train,6646,6646_3_2000002_g18_4,,0,true,,true,false,1,false,,,
ddefdec8-202c-45f4-b14f-a35cb6457c51,Москва (Ярославский вокзал) — Щёлково,2018-07-24 21:04:37,2018-07-24 21:04:37,train,6564,6564_2_2000002_g18_4,,0,true,,true,false,1,false,,,
2e600af1-9b83-4c89-9712-3eea11b7abad,Лобня — Кубинка 1,2018-07-29 21:06:31,2018-07-29 21:06:31,train,6203,6203_15_9600781_g18_4,,0,true,,true,false,1,false,,,
f89cd9af-0059-4d49-9bea-43cacffa1d18,Новоиерусалимская — Депо,2018-03-23 21:03:08,2018-03-23 21:03:08,train,6322/6321,6322x6321_1_9601222_g18_4,,0,true,,true,false,1,false,,,
a1fe2a70-3a1c-48c5-b4cd-1d80716f8122,Новоиерусалимская — Подольск,2018-03-23 21:03:08,2018-03-23 21:03:08,train,6410/6409,6410x6409_2_9601222_g18_4,,0,true,,true,false,1,false,,,
d1032412-e72d-4f84-834f-0348527952e7,Москва (Ленинградский вокзал) — Крюково,2018-10-25 10:58:58,2018-10-25 10:58:58,train,6324,6324_5_2006004_g18_4,,0,true,,true,false,1,false,,,
e0c1d8ff-454f-41a4-bb82-6eafed1fd45b,Москва (Ленинградский вокзал) — Крюково,2018-10-25 10:58:59,2018-10-25 10:58:59,train,7582,7582_4_2006004_g18_4,,0,true,,true,false,2,false,,,
